frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
0,player,1,home,6275.1934,3764.2798,187.6137,124.2396,670.5,538.0
0,player,2,away,7150.5039,3931.0464,211.8306,129.1235,1202.0,539.0
0,player,3,home,6704.7397,492.0508,199.4978,28.4101,848.0,265.0
0,player,4,away,7196.6362,1604.6273,213.1069,60.9927,1129.5,334.0
0,player,5,home,7092.8555,1028.8456,210.2357,44.1305,1055.5,294.0
0,player,6,away,5615.3638,1846.4575,169.3584,68.0748,313.5,383.0
0,player,7,home,7344.9648,1591.0907,217.2107,60.5962,1208.0,330.0
0,player,8,home,6215.6631,1052.4908,185.9667,44.8229,615.0,313.0
0,player,9,home,7211.5767,584.7791,213.5203,31.1257,1101.0,261.0
0,player,10,home,5933.5791,946.2695,178.1624,41.7122,476.5,311.0
1,player,1,home,6273.4922,3763.9749,187.5666,124.2307,669.5,538.0
1,player,2,away,7148.8672,3920.9233,211.7853,128.827,1200.5,538.0
1,player,3,home,6701.7026,491.1397,199.4138,28.3834,846.5,265.0
1,player,4,away,7192.9409,1603.6495,213.0047,60.964,1127.5,334.0
1,player,5,home,7087.9512,1013.282,210.1,43.6747,1052.5,293.0
1,player,6,away,5609.3892,1845.0134,169.1931,68.0325,310.5,383.0
1,player,7,home,7342.3203,1577.1366,217.1375,60.1876,1206.0,329.0
1,player,8,home,6209.4341,1064.9366,185.7943,45.1874,612.0,314.0
1,player,9,home,7208.6396,583.8916,213.439,31.0997,1099.5,261.0
1,player,10,home,5928.4287,944.8482,178.0199,41.6706,474.0,311.0
2,player,1,home,6271.1328,3753.3918,187.5013,123.9208,668.0,537.0
2,player,2,away,7145.6724,3920.3503,211.6969,128.8103,1198.5,538.0
2,player,3,home,6698.6646,490.2284,199.3297,28.3567,845.0,265.0
2,player,4,away,7188.3369,1615.6511,212.8773,61.3155,1125.5,335.0
2,player,5,home,7081.3188,1025.5619,209.9165,44.0343,1049.5,294.0
2,player,6,away,5604.6992,1856.8484,169.0633,68.3791,308.0,384.0
2,player,7,home,7338.6499,1576.1566,217.036,60.1589,1204.0,329.0
2,player,8,home,6202.3789,1063.0004,185.5991,45.1307,608.5,314.0
2,player,9,home,7205.7017,583.0039,213.3577,31.0737,1098.0,261.0
2,player,10,home,5923.3247,957.7874,177.8787,42.0495,471.5,312.0
3,player,1,home,6268.3867,3763.0596,187.4254,124.2039,666.5,538.0
3,player,2,away,7143.231,3910.0671,211.6294,128.5091,1196.5,537.0
3,player,3,home,6695.0488,504.192,199.2297,28.7656,843.5,266.0
3,player,4,away,7182.7944,1614.1874,212.724,61.2726,1122.5,335.0
3,player,5,home,7075.5474,1023.9191,209.7568,43.9862,1046.5,294.0
3,player,6,away,5598.7246,1855.4071,168.898,68.3369,305.0,384.0
3,player,7,home,7333.9624,1588.1581,216.9063,60.5103,1202.0,330.0
3,player,8,home,6198.3457,1061.8934,185.4876,45.0983,606.5,314.0
3,player,9,home,7201.7842,581.8201,213.2494,31.039,1096.0,261.0
3,player,10,home,5917.1445,956.085,177.7077,41.9996,468.5,312.0
4,player,1,home,6265.8335,3762.6018,187.3547,124.1905,665.0,538.0
4,player,2,away,7140.7861,3899.7678,211.5617,128.2075,1194.5,536.0
4,player,3,home,6690.9995,502.9795,199.1177,28.7301,841.5,266.0
4,player,4,away,7179.0986,1613.2113,212.6217,61.244,1120.5,335.0
4,player,5,home,7069.7729,1022.2756,209.5971,43.9381,1043.5,294.0
4,player,6,away,5593.7441,1854.2056,168.7603,68.3017,302.5,384.0
4,player,7,home,7329.375,1586.9354,216.7794,60.4745,1199.5,330.0
4,player,8,home,6190.2764,1059.6787,185.2643,45.0334,602.5,314.0
